0,1,2,3,4,5,6
,11:30-13:00,,,,,
,12:10-12:25,,,,,
,13:00-14:00,,,,,
,14:00-14:05,,,,,
,,,,,,
,14:00-14:40,,,,,
,,,,,,
,15:30-15:45,,,,,
,15:45-17:15,,,,,
,16:15-17:45,,,,,
,16:45-17:45,,,,,
,,,,,,
,17:15-17:25,,,,,
,,,,,,
,17:45-18:45,,,,,
,17:45-18:45,,,,,
,17:45-19:15,,,,,
,,,,,,
,18:50-19:05,,,,,
,,,,,,
,,,,,,
,19:05-19:30,,,,,
,,,,,,
,,,,,,
,19:30-21:30,,,,,
,,,,,,
,19:30-21:25,,,,,
TIME,CREW,,ACTIVITY,,,
,,Morning Inspection,,,,
06:00-06:10,CDR,Reboot Laptop RS2(1),,,,
,,"RSS1,2 Reboot",,,,
06:00-06:10,"FE-2, FE-4, FE-5, FE-6",Morning Inspection,,,,
06:00-06:05,FE-3,PROK - Urine Sample Collection,,,,
06:05-06:25,FE-3,HRF Urine Sample Collection,,,,
,"CDR, FE-2,",,,,,
06:10-06:40,"FE-4, FE-5,",Post-sleep,,,,
,FE-6,,,,,
06:25-06:30,FE-3,HRF - Urine Sample Insertion Into MELFI,,,,
06:30-06:40,FE-3,Post-sleep,,,,
,"CDR, FE-2,",,,,,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,,,,
,FE-6,,,,,
06:40-07:30,FE-4,BREAKFAST. SM ПСС Test (after breakfast),,,,
,,"Weekly Housekeeping / МО, Book 1, 1.2.1, p. 1-2",,,,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",,,,
07:30-10:30,"CDR, FE-2, FE-4",FGB ЦВ2 Fan Cleaning  Inspection of Air Conditioner,,,,
,,Cleaning Auxiliary Computer System (ВКС) Laptops Cleaning БМП,,,,
,,(Harmful Contaminants Removal System) fan grille,,,,
07:35-07:50,"FE-3, FE-5, FE-6",Daily Planning Conference (S-band),,,,
07:50-08:10,"FE-3, FE-5, FE-6",Work Prep,,,,
08:20-09:50,FE-5,ARED Exercise,,,,
08:50-09:50,FE-6,T2 Exercise,,,,
09:00-09:20,FE-3,HRF Urine Sample Collection,,,,
09:20-09:25,FE-3,HRF - MELFI Sample Insertion,,,,
09:30-09:50,FE-3,CBCS Checkout in Node 2,,,,
09:50-10:35,"FE-3, FE-5, FE-6",Cygnus Ops Review,,,,
10:30-10:40,FE-4,KAPLYA-2. Start SONY Battery Charge,,,,
10:35-11:25,"FE-3, FE-6",OBT - Cygnus Robotics Ops Review,,,,
10:40-12:10,FE-4,"БД-2 Exercise, Day 3",,,,
10:45-12:15,FE-2,ARED Exercise,,,,
11:25-11:35,"FE-3, FE-6",Robotics OBT Debrief,,,,
11:35-12:05,FE-3,Cygnus Cargo Operations Review,,,,
12:00-13:00,"FE-5, FE-6",OBT - Cygnus Install Review,,,,
12:05-12:25,FE-3,HRF Urine Sample Collection,,,,
12:15-13:15,FE-2,"БД-2 Exercise, Day 2",,,,
,TIME,,"CREWCDRFE-2FE-3FE-5,FE-6FE-4FE-5,FE-6FE-3CDR, FE-2,FE-4, FE-5,FE-6FE-3FE-3CDR, FE-2,FE-4, FE-5FE-6FE-3FE-3FE-6FE-3CDR, FE-2FE-4FE-4FE-5FE-6FE-4FE-6FE-5FE-3FE-5FE-6FE-4FE-2FE-6",,"ACTIVITYMorning Inspection.SM ПСС (Caution & Warning Panel) TestMorning Inspection.Laptop RS2(1) Reboot / Onboard Computer System (БВС), 2.1.2, p. 2-3Reading REMINDERREMINDER - Reading ARED Exercise ReminderMorning Inspection.Reboot Laptop RSS1, RSS2Morning InspectionREMINDER - Reading ARED Exercise ReminderPost-sleepBREAKFASTBREAKFASTENERGY Diet Log of BreakfastDaily Planning Conference (S-band)Work PrepWork PrepWork PrepSet up video equipment to record ARED exerciseConference with SSIPC ManagementARED ExercisePost-EVA Tool Re-stow, IMS OpsMRM2 comm config to support voice comm during the experimentKULONOVSKYI KRISTALL. Hardware Setup and Configuration. Tagupwith specialistsCEVIS ExerciseT2 ExerciseKULONOVSKYI KRISTALL. Experiment Ops / Tagup with specialistsCIR - Upper Rack Doors OpenPhoto/TV Camcorder Setup VerificationT2 ExerciseARED ExerciseCIR - Manifold Bottle Replacement and Camcorder Video 1MRM2 Comm ReconfigTerminate discharge of the 2nd 825М3 Pack and remove the 2nd Packfrom discharge.  Report to MCC discharge durationCIR - Manifold Bottle Replacement and Camcorder Video 2",
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,06:00-06:05,,,,,
,06:00-06:05,,,,,
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,06:05-06:10,,,,,
,06:05-06:10,,,,,
,06:10-06:40,,,,,
,,,,,,
,,,,,,
,06:40-07:30,,,,,
,,,,,,
,06:40-07:25,,,,,
,07:25-07:30,,,,,
,07:30-07:55,,,,,
,,,,,,
,,,,,,
,07:55-08:15,,,,,
,,,,,,
,07:55-08:10,,,,,
,07:55-08:05,,,,,
,08:05-08:10,,,,,
,08:10-08:30,,,,,
,08:10-09:35,,,,,
,08:15-10:15,,,,,
,08:15-08:20,,,,,
,,,,,,
,08:20-08:50,,,,,
,,,,,,
,08:30-09:30,,,,,
,08:30-09:30,,,,,
,08:50-09:50,,,,,
,09:30-09:45,,,,,
,09:35-09:40,,,,,
,09:35-10:35,,,,,
,09:40-11:05,,,,,
,09:45-10:15,,,,,
,09:50-09:55,,,,,
,,,,,,
,10:15-10:25,,,,,
,,,,,,
,10:15-10:45,,,,,
TIME,CREW,,ACTIVITY,,,
10:00-10:10,CDR,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test,,,,
10:00-10:10,FE-2,Morning Inspection. Laptop RS2(1) Reboot,,,,
10:00-10:10,FE-4,"Morning Inspection.  Reboot Laptop RSS1, RSS2",,,,
10:00-10:10,FE-5,Morning Inspection,,,,
10:00-10:05,"FE-3, FE-6",PFE Reminder,,,,
10:05-10:10,FE-6,Morning Inspection,,,,
10:05-10:10,FE-3,Reading REMINDER,,,,
10:10-10:40,,Post-sleep,,,,
,"CDR, FE-2,",,,,,
10:40-11:25,"FE-4, FE-5,",BREAKFAST,,,,
,FE-6,,,,,
10:40-11:20,FE-3,BREAKFAST,,,,
11:20-11:25,FE-3,ENERGY Diet Log of Breakfast,,,,
11:25-11:45,,Daily Planning Conference (S-band),,,,
11:45-12:05,FE-3,Acoustic Dosimeter Setup,,,,
11:45-12:05,"FE-5, FE-6",Work Prep,,,,
11:45-12:05,FE-4,Elektron-VM Liquid Unit Pressurization before Activation,,,,
11:45-12:15,"CDR, FE-2","Removal of US TV cameras, Lights, and REBA power unit from Orlan-MK Suits",,,,
12:05-13:35,FE-3,Periodic Fitness Evaluation - Nom Ops (subject),,,,
12:05-12:25,FE-4,Work Prep,,,,
12:05-12:15,FE-5,WRS Water Sample Analysis,,,,
12:05-12:15,FE-6,HAM Radio Power Up,,,,
12:15-12:30,"FE-2, FE-5",US Tools and Equipment Handover from RS to USOS after EVA-37A,,,,
12:15-12:20,CDR,TERMO-LADA. Visual Inspection of Hardware Operation,,,,
12:30-12:35,"CDR, FE-5",Photo (EVA) - camera handover to USOS,,,,
12:30-13:30,FE-2,"Refilling of Orlan No. 4, No. 6 water tank",,,,
12:35-13:05,FE-5,EVA-37A Photo Downlink and D2X cameras reconfig to nominal ops,,,,
12:35-13:05,CDR,EVA Photo Downlink,,,,
12:40-13:10,FE-6,Periodic Fitness Evaluation - Nom Ops (assistance),,,,
12:40-14:10,FE-4,"БД-2 Exercise, Day 4",,,,
,,Set up the first Orlan battery pack 825М3 for discharge and start,,,,
13:05-13:25,CDR,discharging the first pack Report to MCC the number of the installed,,,,
,,unit,,,,
13:05-14:05,FE-5,US Tools Stowage after EVA-37A,,,,
13:30-14:30,"CDR, FE-2",Drying Orlan-MK Water Feed Line,,,,
13:35-13:45,FE-3,Work Prep,,,,
,TIME,,"CREWCDRFE-2FE-3,FE-6FE-4FE-5FE-6FE-3FE-5CDR,FE-2, FE-3,FE-4FE-6FE-6FE-6CDR,FE-2, FE-3,FE-4FE-6FE-6FE-5FE-5FE-6FE-6CDR,FE-2, FE-3,FE-4FE-6.FE-3FE-5FE-6CDR,FE-2,FE-4FE-5FE-6FE-6CDRFE-2FE-6FE-4",,"ACTIVITYMorning InspectionLaptop RS1(2) Reboot / Onboard Computer System (БВС) 2.1.2, p. 2-3Morning InspectionReading REMINDERMorning Inspection. SM ПСС (Caution & Warning Panel) TestMorning InspectionReading REMINDERMorning InspectionPost-sleepPost-sleepReading REMINDERREMINDER – Blood Sample Collection ReminderHRF - Urine Sample collection and analysisBREAKFASTHRF – insertion into MELFIHRF – blood collectionHRF - blood collection/ assistBREAKFASTREACTION- Reaction Self-TestPost-sleep, BREAKFASTWork PrepHRF - Centrifuge ConfigureDaily planning conference (S-band)On-Orbit Hearing Assessment with EarQ SoftwareWork PrepHRF – samples removal and powering off CentrifugeVoice com with Russian Orthodox Church Patriarch (VHF)Lab Internal Thermal Control System (ITCS) Sample CollectionHRF - HRF Generic Sample MELFI InsertionHRF - Blood samples stowExperimental video complex LIV power converter screen cleaningWork prepT2 ExerciseБД-2 Exercise, Day 3",
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:00-06:05,,,,,
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:05-06:10,,,,,
,06:05-06:10,,,,,
,06:10-06:55,,,,,
,,,,,,
,06:10-06:40,,,,,
,,,,,,
,06:10-06:15,,,,,
,06:15-06:20,,,,,
,06:20-06:40,,,,,
,,,,,,
,06:40-07:30,,,,,
,,,,,,
,06:40-06:45,,,,,
,06:45-07:20,,,,,
,06:55-07:10,,,,,
,07:10-07:50,,,,,
,07:20-07:25,,,,,
,07:25-07:40,,,,,
,07:30-07:50,,,,,
,07:40-07:50,,,,,
,07:50-08:15,,,,,
,08:15-08:40,,,,,
,08:15-08:25,,,,,
,08:20-08:25,,,,,
,,,,,,
,08:20-08:35,,,,,
,,,,,,
,08:25-09:50,,,,,
,08:25-08:30,,,,,
,08:30-08:45,,,,,
,08:35-09:05,,,,,
,08:35-08:45,,,,,
,08:45-09:45,,,,,
,08:55-10:25,,,,,
TIME,CREW,,ACTIVITY,,,
06:00-06:10,CDR,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test,,,,
06:00-06:15,FE-2,KHROMATOMASS. Experiment Setup,,,,
06:00-06:05,"FE-3, FE-6",Reading REMINDER,,,,
06:00-06:10,FE-4,Morning Inspection. Laptop RS1(2) Reboot,,,,
06:00-06:10,FE-5,Morning Inspection,,,,
06:05-06:15,FE-3,HRF Blood Draw Operator,,,,
06:05-06:10,FE-6,Reading REMINDER,,,,
06:10-06:40,"CDR, FE-4, FE-5",Post-sleep,,,,
06:10-06:15,FE-6,Reaction Self Test,,,,
06:15-06:45,FE-2,KHROMATOMASS. Saliva and Blood Collection,,,,
06:15-06:20,FE-3,HRF - MELFI Sample Insertion,,,,
06:15-06:45,FE-6,Post-sleep,,,,
06:20-06:50,FE-3,Post-sleep,,,,
06:40-07:50,CDR,SPLANH. Experiment Ops Tagup with specialists (S-band),,,,
06:40-07:00,FE-4,BREAKFAST,,,,
06:40-07:30,FE-5,BREAKFAST,,,,
06:45-06:55,FE-2,"Morning Inspection. RSS1,2 Reboot",,,,
06:45-07:30,FE-6,BREAKFAST,,,,
06:50-07:50,FE-3,BREAKFAST,,,,
06:55-07:25,FE-2,Post-sleep,,,,
07:00-07:15,FE-4,SPLANH. Photography,,,,
07:15-07:50,FE-4,BREAKFAST,,,,
07:25-07:50,FE-2,BREAKFAST,,,,
07:30-07:50,"FE-5, FE-6",Work Prep,,,,
07:50-08:10,,Daily Planning Conference (S-band),,,,
08:10-08:25,,ISS crew and ГОГУ (RSA Flight Control Management Team) weekly conference (S-band),,,,
08:25-09:00,"CDR, FE-2",BREAKFAST,,,,
08:25-08:45,FE-3,Work Prep,,,,
08:25-08:50,FE-4,Work Prep,,,,
08:30-08:45,FE-5,CFE - Hardware Test Ops Review,,,,
08:30-10:05,FE-6,Body Measures Experiment,,,,
08:45-08:55,FE-3,HRF - equipment stow,,,,
08:45-09:00,FE-5,Capillary Flow Experiment (CFE) - Maintenance Work Area (MWA) Preparation,,,,
08:50-09:20,FE-4,Preparation for RS ISS Window Inspection and Photography (r/g and,,,,
TIME,CREW,,ACTIVITY,,,
06:00-06:10,CDR,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test,,,,
06:00-06:10,FE-2,Morning Inspection.  Laptop RS2(1) Reboot,,,,
06:00-06:10,FE-4,"Morning Inspection.  Reboot Laptop RSS1, RSS2 / r/g 1009 step 1",,,,
06:00-06:05,FE-3,Reading REMINDER,,,,
06:00-06:10,FE-5,Morning Inspection,,,,
06:00-06:05,FE-6,REACTION - Self-reaction test,,,,
06:05-06:10,"FE-3, FE-6",Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
,"CDR, FE-2,",,,,,
06:40-07:30,"FE-4, FE-5,",BREAKFAST,,,,
,FE-6,,,,,
06:40-07:25,FE-3,BREAKFAST,,,,
07:25-07:30,FE-3,ENERGY Diet Log of Breakfast,,,,
,"CDR, FE-2,",,,,,
07:30-07:50,"FE-4, FE-5,",Work Prep,,,,
,FE-6,,,,,
07:30-07:50,FE-3,Acoustic Dosimeters: hardware setup for static measurements,,,,
07:50-08:15,,Daily Planning Conference (S-band),,,,
08:15-08:45,FE-3,Work Prep,,,,
08:15-08:45,"CDR, FE-2",Post-EVA Orlan Debrief With Specialists (S-band),,,,
08:15-08:35,FE-6,ISS Crew / SSIPC FD Conference,,,,
08:15-09:15,FE-5,T2 Exercise,,,,
08:15-09:15,FE-4,"Microbial Air Sampling (media 1, locations No. 9 - No. 16) and downlink of results /",,,,
,,End discharge of the 1st Orlan battery 825М3 and start discharge of,,,,
08:45-08:55,CDR,the 2nd battery. Report to MCC discharge time of the 1st battery,,,,
,,unit,,,,
08:45-11:45,FE-3,ISERV - Payload Removal,,,,
09:00-10:00,"CDR, FE-2",Post-EVA debrief. Tagup with specialists (S-band),,,,
09:00-09:15,FE-6,Private Psychological Conference,,,,
09:15-09:20,FE-4,СТТС Reconfiguration for MRM1,,,,
09:15-09:25,FE-5,Columbus SW Cycle 14 transition - PWS2 Activation,,,,
09:15-10:15,FE-6,T2 Exercise,,,,
09:20-09:45,FE-4,"KAPLYA-2. Camcorder installation and adjustment, light installation",,,,
09:25-09:35,FE-5,Columbus SW Cycle 14 transition - PWS2 command and telemetry checkout,,,,
09:45-10:00,FE-4,KAPLYA-2. Hardware Activation and Mode 1 Selection (static warmup,,,,
,TIME,,"CREWCDRFE-2,FE-3,FE-5FE-4FE-6FE-6.CDRFE-2,FE-3,FE-4,FE-5,FE-6FE-3FE-3FE-6FE-4FE-2FE-3FE-2CDRFE-4.CDRFE-3FE-3FE-5FE-5CDRFE-4FE-5FE-6CDRFE-2FE-3",,"ACTIVITYMorning Inspection.Laptop RS1(2) RebootMorning InspectionMorning Inspection.RSS1,2 RebootReading REMINDERMorning Inspection.Post-sleepBREAKFAST. SM ПСС (Caution & Warning Panel) TestBREAKFASTRGN-REC TK - Recycle Tank R&RARED ExerciseCEVIS ExerciseБД-2 Exercise, Day 1Private Family Conference (Ku + S-band)T2 ExerciseARED ExercisePrivate Family Conference (Ku + S-band)Private Family Conference (Ku + S-band)LUNCHСОЖ Maintenance. SM and FGB СВО, СГО, АСУ СПКУ Counter, POTOK AirPurification System Data CalldownsRGN - Initiate drain into EDVRGN - Terminate drain into EDVPrivate Family ConferenceARED ExerciseБД-2 Exercise, Day 1VELO Exercise, Day 1T2 ExerciseARED ExerciseVELO Exercise, Day 1БД-2 Exercise, Day 4Private Family Conference",
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:00-06:05,,,,,
,06:05-06:10,,,,,
,06:10-06:40,,,,,
,06:40-07:30,,,,,
,,,,,,
,06:40-07:30,,,,,
,,,,,,
,09:05-09:45,,,,,
,10:00-11:30,,,,,
,10:30-11:30,,,,,
,11:00-12:30,,,,,
,11:00-11:15,,,,,
,11:30-12:30,,,,,
,11:30-13:00,,,,,
,12:10-12:25,,,,,
,12:45-13:00,,,,,
,13:00-14:00,,,,,
,,,,,,
,14:00-14:40,,,,,
,,,,,,
,14:00-14:15,,,,,
,14:45-15:00,,,,,
,15:30-15:45,,,,,
,16:10-17:40,,,,,
,16:15-17:45,,,,,
,16:45-17:45,,,,,
,17:40-18:40,,,,,
,17:40-19:10,,,,,
,17:45-18:45,,,,,
,17:45-18:45,,,,,
,18:40-18:55,,,,,
,TIME,,,,,
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,,,,,,
,06:00-06:10,,,,,
,,,,,,
,06:00-06:05,,,,,
,06:05-06:25,,,,,
,,,,,,
,06:10-06:20,,,,,
,,,,,,
,TIME,,,,,
,05:30-05:45,,,,,
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:00-06:05,,,,,
,06:00-06:10,,,,,
,06:00-06:10,,,,,
,06:05-06:10,,,,,
,06:10-06:15,,,,,
,,,,,,
,06:10-06:40,,,,,
,,,,,,
