0,1,2,3,4,5,6
20:40-21:30,.,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,,
Task list,CDR,ECON. Observations And Photography,,,,
FE-1,URAGAN. Observations And Photography,,,,,
,DIATOMEA. World Ocean Observations,,,,,
,PLANTS-2. Payload Status Check,,,,,
"CDR, FE-1",MBE-15. Pilot-M Experiment,,,,,
GMT,,CREW,,ACTIVITY,,
06:00-06:10,,"CDR, FE-2",,Morning Inspection,,
06:00-06:10,,FE-1,,SONOCARD. Experiment completion,,
06:10-06:40,,"CDR,FE-2",,Post-sleep,,
06:10-06:20,,FE-1,,Morning Inspection,,
06:20-06:40,,FE-1,,Post-sleep,,
06:40-07:30,,.,,Breakfast,,
07:30-07:45,,.,,Daily planning conference  (S-band),,
07:45-08:15,,FE-2,,Work prep,,
07:45-08:00,,"CDR,FE-1",,Work prep,,
08:00-08:15,,FE-1,,Sonocard. Copy data to Laptop RSE-MED,,
08:00-09:00,,CDR,,In-Flight Maintenance for monoblock ТА968МА (ПЦБ) from FEТС2-12 system - preparation.Conference with specialists (S-band),,
08:15-10:45,,FE-1,,FGB Structure and HW surface sampling. Conf. with specialists if needed. (S-band),,
08:15-09:45,,FE-2,,FE (RED),,
09:00-12:00,,CDR,,On MCC-M Go In-Flight Maintenance for monoblock ТА968МА (ПЦБ) from FEТС2-12 system.Conf. with specialists. (S-band),,
09:45-10:45,,FE-2,,FE (CEVIS),,
10:45-11:40,,FE-1,,"Cleaning of detachable grilles of Gas-Liquid Heat Exchangers 1, 2, 3 FGB",,
10:45-11:00,,FE-2,,Locating hard drives with software R11 for PCS,,
11:00-11:30,,FE-2,,Replacing hard drives for PCS,,
11:30-12:45,,FE-2,,In-Flight Maintenance -  RED,,
11:40-13:10,,FE-1,,FE (TVIS) -3,,
12:00-13:00,,CDR,,On MCC-M Go In-Flight Maintenance for monoblock ТА968МА (ПЦБ) from FEТС2-12 system.Last steps. Conf. with specialists. (S-band),,
12:45-13:30,,FE-2,,In-Flight RED calibration.,,
13:00-14:00,,CDR,,FE (TVIS) -3,,
13:10-13:20,,FE-1,,Rastenia-2. Data copying (start) / r/g,,
13:20-13:40,,FE-1,,On MCC-M Go Electron deactivation with purge,,
13:40-13:50,,FE-1,,On MCC-M Go Checking connectivity for new Ethernet network clients r/g,,
GMT,CREW,ACTIVITY,,,,
07:00-07:10,.,Morning Inspection,,,,
