,0,1,count
270,conference,icv,1
271,conference,fgb,3
272,conference,measurements,0
273,conference,lab,3
274,conference,battery,0
275,conference,status,29
276,conference,charge,0
277,conference,payload,10
278,conference,video,34
279,conference,review,12
280,conference,msg,0
281,conference,experiment,16
282,conference,procedure,22
283,conference,inspection,1
284,conference,laptop,5
285,conference,tank,0
286,conference,morning,46
287,conference,soyuz,29
288,conference,unit,8
289,conference,replacement,3
290,conference,bag,2
291,conference,filter,0
292,conference,start,0
293,conference,photo,2
294,conference,regeneration,0
295,conference,cartridge,0
296,conference,бмп,0
297,conference,tagup,32
298,conference,specialists,82
299,conference,activation,4
300,conference,preparation,11
301,conference,installation,11
302,conference,dc1,3
303,conference,node,0
304,conference,equipment,26
305,conference,prep,91
306,conference,return,10
307,conference,stow,29
308,conference,exercise,81
309,conference,physical,66
310,conference,day,10
311,conference,tvis,6
312,conference,ims,52
313,conference,collection,0
314,conference,hrf,0
315,conference,blood,0
316,conference,urine,0
317,conference,tv,207
318,conference,drying,0
319,conference,kuband,169
320,conference,iss,483
321,conference,progress,36
322,conference,repress,0
323,conference,mcc,73
324,melfi,sband,0
325,melfi,camera,0
326,melfi,photography,0
327,melfi,removal,13
328,melfi,assembly,0
329,melfi,temperature,2
330,melfi,eva,44
331,melfi,item,1
332,melfi,wrs,0
333,melfi,page,0
334,melfi,recovery,1
335,melfi,power,1
336,melfi,rack,4
337,melfi,loop,0
338,melfi,closure,0
339,melfi,emergency,0
340,melfi,hardware,18
341,melfi,setup,4
342,melfi,camcorder,0
343,melfi,edv,0
344,melfi,stowage,3
345,melfi,ops,5
346,melfi,closeout,1
347,melfi,radio,0
348,melfi,ham,0
349,melfi,session,0
350,melfi,data,2
351,melfi,transfer,28
352,melfi,questionnaire,0
353,melfi,downlink,0
354,melfi,mec,0
355,melfi,air,9
356,melfi,sm,2
357,melfi,sampling,0
358,melfi,fan,0
359,melfi,cleaning,8
360,melfi,maintenance,0
361,melfi,сож,0
362,melfi,ssc,0
363,melfi,support,0
364,melfi,cleanup,2
365,melfi,cable,0
366,melfi,cargo,0
367,melfi,file,0
368,melfi,comm,0
369,melfi,config,21
370,melfi,reconfig,12
371,melfi,test,0
372,melfi,check,38
373,melfi,monitoring,0
374,melfi,water,1
375,melfi,private,0
376,melfi,icv,0
377,melfi,fgb,0
378,melfi,measurements,0
379,melfi,lab,5
380,melfi,battery,4
381,melfi,status,22
382,melfi,charge,0
383,melfi,payload,4
384,melfi,video,2
385,melfi,review,7
386,melfi,msg,0
387,melfi,experiment,1
388,melfi,procedure,2
389,melfi,inspection,1
390,melfi,laptop,4
391,melfi,tank,0
392,melfi,morning,0
393,melfi,soyuz,2
394,melfi,unit,11
395,melfi,replacement,15
396,melfi,bag,2
397,melfi,filter,0
398,melfi,start,0
399,melfi,photo,0
400,melfi,regeneration,0
401,melfi,cartridge,3
402,melfi,бмп,0
403,melfi,tagup,1
404,melfi,specialists,1
405,melfi,activation,8
406,melfi,preparation,1
407,melfi,installation,16
408,melfi,dc1,0
409,melfi,node,0
410,melfi,equipment,9
411,melfi,prep,1
412,melfi,return,3
413,melfi,stow,14
414,melfi,exercise,0
415,melfi,physical,0
416,melfi,day,1
417,melfi,tvis,0
418,melfi,ims,0
419,melfi,collection,20
420,melfi,hrf,235
421,melfi,blood,157
422,melfi,urine,331
423,melfi,tv,0
424,melfi,drying,0
425,melfi,kuband,0
426,melfi,iss,3
427,melfi,progress,0
428,melfi,repress,0
429,melfi,mcc,0
430,sband,camera,14
431,sband,photography,53
432,sband,removal,51
433,sband,assembly,18
434,sband,temperature,10
435,sband,eva,366
436,sband,item,7
437,sband,wrs,0
438,sband,page,2
439,sband,recovery,35
440,sband,power,29
441,sband,rack,4
442,sband,loop,33
443,sband,closure,21
444,sband,emergency,103
445,sband,hardware,258
446,sband,setup,265
447,sband,camcorder,5
448,sband,edv,6
449,sband,stowage,50
450,sband,ops,368
451,sband,closeout,92
452,sband,radio,19
453,sband,ham,8
454,sband,session,37
455,sband,data,118
456,sband,transfer,94
457,sband,questionnaire,9
458,sband,downlink,143
459,sband,mec,6
460,sband,air,64
461,sband,sm,272
462,sband,sampling,4
463,sband,fan,15
464,sband,cleaning,13
465,sband,maintenance,10
466,sband,сож,2
467,sband,ssc,5
468,sband,support,21
469,sband,cleanup,26
470,sband,cable,83
471,sband,cargo,11
472,sband,file,16
473,sband,comm,99
474,sband,config,65
475,sband,reconfig,11
476,sband,test,221
477,sband,check,177
478,sband,monitoring,26
479,sband,water,30
480,sband,private,290
481,sband,icv,0
482,sband,fgb,29
483,sband,measurements,17
484,sband,lab,15
485,sband,battery,5
486,sband,status,82
487,sband,charge,40
488,sband,payload,32
489,sband,video,86
490,sband,review,106
491,sband,msg,3
492,sband,experiment,523
493,sband,procedure,80
494,sband,inspection,20
495,sband,laptop,121
496,sband,tank,8
497,sband,morning,31
498,sband,soyuz,135
499,sband,unit,74
500,sband,replacement,69
501,sband,bag,10
502,sband,filter,8
503,sband,start,85
504,sband,photo,98
505,sband,regeneration,0
506,sband,cartridge,2
507,sband,бмп,2
508,sband,tagup,2997
509,sband,specialists,2301
510,sband,activation,148
511,sband,preparation,62
512,sband,installation,133
513,sband,dc1,38
514,sband,node,2
515,sband,equipment,112
516,sband,prep,196
517,sband,return,22
518,sband,stow,80
519,sband,exercise,117
520,sband,physical,57
521,sband,day,34
522,sband,tvis,32
523,sband,ims,81
524,sband,collection,12
525,sband,hrf,0
526,sband,blood,9
527,sband,urine,0
528,sband,tv,321
529,sband,drying,2
530,sband,kuband,33
531,sband,iss,578
532,sband,progress,79
533,sband,repress,1
534,sband,mcc,198
535,camera,photography,5
536,camera,removal,42
537,camera,assembly,85
538,camera,temperature,1
539,camera,eva,244
540,camera,item,4
541,camera,wrs,0
542,camera,page,0
543,camera,recovery,2
544,camera,power,25
545,camera,rack,3
546,camera,loop,0
547,camera,closure,9
548,camera,emergency,0
549,camera,hardware,4
550,camera,setup,107
551,camera,camcorder,5
552,camera,edv,0
553,camera,stowage,18
554,camera,ops,20
555,camera,closeout,7
556,camera,radio,2
557,camera,ham,1
558,camera,session,5
559,camera,data,4
560,camera,transfer,30
561,camera,questionnaire,0
562,camera,downlink,17
563,camera,mec,0
564,camera,air,3
565,camera,sm,59
566,camera,sampling,0
567,camera,fan,0
568,camera,cleaning,8
569,camera,maintenance,3
570,camera,сож,0
571,camera,ssc,22
572,camera,support,12
573,camera,cleanup,0
574,camera,cable,11
575,camera,cargo,0
