0,1,2,3,4,5,6,7,8,9,10,13,14
13:05-14:00,FE-1,,LUNCH,,,,,,,,,
14:00-15:00,"CDR, FE-1,FE-4",,Crew Air Lock Procedure Review,,,,,,,,,
15:00-16:30,CDR,,"Physical Exercise (TVIS), Day 3",,,,,,,,,
15:00-15:10,"FE-1, FE-4",,Battery Installation in Orlan Telemetry Unit (БРТА),,,,,,,,,
15:10-15:25,FE-1,,КОБ2 4ГБ4 Half-Coupling Shell Coolant Leak Check,,,,,,,,,
15:10-16:10,FE-4,,Physical Exercise (ARED),,,,,,,,,
15:30-16:00,FE-1,,Comm Config and Transit-Б Activation,,,,,,,,,
16:10-17:10,FE-1,,Physical Exercise (ARED),,,,,,,,,
16:20-17:00,FE-4,,"Setting up portable repress tank (БНП) #3, п.1 (001473R, ТПК702БО) in [РО](Working Compartment) prior to EVA",,,,,,,,,
16:30-18:10,CDR,,"RUSALKA Setup, photo/video, and cleanup",,,,,,,,,
17:00-17:10,FE-4,,ПхО БК-3М Oxygen Tank Pressure Check,,,,,,,,,
17:10-17:20,FE-4,,DC1 БК-3М Oxygen Tank Pressure Check,,,,,,,,,
17:20-17:50,"FE-1, FE-4",,Beta-08 Data Output Device (УСИ) Checkout Using Gamma-1M,,,,,,,,,
17:50-18:20,"FE-1, FE-4",,Orlan and БСС Telemetry Check. Spacesuit Voice Comm Check And BiomedParameter Test,,,,,,,,,
18:20-18:35,FE-1,,Comm system and Tranzit-Б reconfig for nominal ops,,,,,,,,,
18:20-19:05,FE-4,Evening Work Prep,,,,,,,,,,
18:40-19:05,"CDR, FE-1",Evening Work Prep,,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
19:05-19:30,,Pre-sleep,,,,,,,,,,
,FE-4,,,,,,,,,,,
19:30-19:55,,Daily Planning Conference (S-band),,,,,,,,,,
19:55-20:05,FE-1,Testing КВД [Pressure Equalization Valve] from DC1 ПОВ [EVA Support Panel],,,,,,,,,,
19:55-21:30,"CDR, FE-4",Pre-sleep,,,,,,,,,,
20:05-21:30,FE-1,Pre-sleep,,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
21:30-07:30,,SLEEP,,,,,,,,,,
,FE-4,,,,,,,,,,,
,"CDR, FE-1,",,,,,,,,,,,
Task List,,Preparation of reports for Roskosmos site,,,,,,,,,,
,FE-4,,,,,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,,,,
06:00-06:10,,"FE-3, FE-5,FE-6",,Morning Inspection,,,,,,,,
06:10-06:40,,"FE-3, FE-5,FE-6",,Post-sleep,,,,,,,,
06:40-07:30,,"FE-3, FE-5,FE-6",,BREAKFAST,,,,,,,,
07:00-07:10,,CDR,,Morning Inspection SM ПСС [Caution & Warning Panel] Test,,,,,,,,
07:00-07:10,,"FE-1, FE-4",,Morning Inspection,,,,,,,,
07:10-07:40,,"CDR, FE-1,FE-4",,Post-sleep,,,,,,,,
07:30-09:30,,FE-6,,Weekly Housekeeping,,,,,,,,
07:30-10:00,,FE-5,,Weekly Housekeeping,,,,,,,,
07:30-07:35,,FE-3,,AORG Photography in Columbus prior to cleaning,,,,,,,,
07:35-10:25,,FE-3,,Weekly Housekeeping,,,,,,,,
07:40-08:30,,"CDR, FE-1,FE-4",,BREAKFAST,,,,,,,,
