0,1,2,3,4,5,6,7
,TIME,,"CREWFE-1CDR,FE-2,FE-3,FE-4,FE-5.CDR,FE-1,FE-3,FE-4,FE-5FE-2CDR,FE-3,FE-5FE-2FE-5FE-3CDRFE-1CDRFE-1FE-4FE-2FE-1CDRFE-1...CDRFE-4FE-2FE-1FE-5FE-4FE-3FE-1FE-2CDRFE-5FE-5",,"ACTIVITYMorning InspectionLaptop RS1(2) Reboot RSS1,2 RebootMorning InspectionPost-sleepBreakfastBreakfastSM ПСС (Caution & Warning Panel) TestWeekly housekeepingEXERCISE  AREDCIR - hw installationEXERCISE  AREDCGBA- status check and monitor cleaningBIOEMULSIYA. Placement in thermostat at +4 deg СEXERCISE  T2BIOEMULSIYA. PhotographyEXERCISE  Velo - 2""Total dictation""Private family conference (Ku+S-band)US window shutter closingPAO - hw prep for mpeg2 from SMPAO - crew prepTV broadcast for Space Day celebrationLunchFood questionnaireСОЖ MaintenancePrivate family conference (Ku+S-band)EXERCISE  БД-2 -3EXERCISE  AREDEXERCISE  БД-2 -2EXERCISE  T2EXERCISE VELO - 3EXERCISE  БД-2 -2EXERCISE AREDPrivate conferenceEXERCISE T2",,
,,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:10-06:40,,,,,,
,,,,,,,
,06:40-07:30,,,,,,
,,,,,,,
,06:40-07:30,,,,,,
,,,,,,,
,07:30-10:30,,,,,,
,,,,,,,
,09:00-10:30,,,,,,
,10:30-10:40,,,,,,
,10:30-12:00,,,,,,
,10:40-10:50,,,,,,
,10:40-10:50,,,,,,
,10:50-11:50,,,,,,
,10:50-11:00,,,,,,
,11:05-12:05,,,,,,
,11:05-11:45,,,,,,
,11:30-11:45,,,,,,
,12:00-12:10,,,,,,
,12:00-12:10,,,,,,
,12:10-12:20,,,,,,
,12:20-12:40,,,,,,
,13:00-14:00,,,,,,
,14:00-14:10,,,,,,
,14:00-14:40,,,,,,
,14:45-15:00,,,,,,
,15:55-17:25,,,,,,
,16:30-18:00,,,,,,
,16:55-18:25,,,,,,
,17:15-18:15,,,,,,
,17:25-18:25,,,,,,
,17:55-18:55,,,,,,
,18:00-19:30,,,,,,
,18:00-18:15,,,,,,
,18:15-19:15,,,,,,
TIME,CREW,ACTIVITY,,,,,
06:00-06:20,CDR,CCP panel – cable routing and check,,,,,
06:00-06:10,FE-1,Morning Inspection. Laptop RS1(2) Reboot,,,,,
,"FE-2,FE-3, FE-",,,,,,
06:00-06:10,,Morning Inspection,,,,,
,5,,,,,,
06:00-06:10,FE-4,"Morning Inspection. RSS1,2 Reboot",,,,,
,"FE-1,FE-2, FE-",,,,,,
06:10-06:40,,Post-sleep,,,,,
,"3,FE-4, FE-5",,,,,,
06:20-06:40,CDR,Post-sleep,,,,,
,"CDR,FE-1, FE-",,,,,,
06:40-07:30,,BREAKFAST,,,,,
,"3,FE-4, FE-5",,,,,,
06:40-07:30,FE-2,BREAKFAST. SM ПСС (Caution & Warning Panel) Test (after breakfast),,,,,
,"CDR,FE-3, FE-",,,,,,
07:30-07:45,,Daily Planning Conference (S-band),,,,,
,5,,,,,,
07:45-08:00,"CDR,FE-5",Work Prep,,,,,
07:45-08:05,FE-3,Work Prep,,,,,
08:00-09:30,FE-5,ARED Exercise,,,,,
08:00-08:20,CDR,RWS config for DRAGON rendezvous observation,,,,,
08:05-09:05,FE-3,T2 Exercise,,,,,
,"FE-1,FE-2, FE-",Telephone conference with the  Patriarch of Russian Orthodox Church (BACKUP),,,,,
08:10-08:25,,,,,,,
,4,(VHF),,,,,
08:20-08:25,CDR,Camera install to provide video to monitor 3 of  RWS station in LAB,,,,,
08:25-08:40,CDR,Minicam  config in Cupola to support Dragon birthing ops,,,,,
09:00-10:55,CDR,Dragon on R-bar,,,,,
09:05-09:45,FE-3,RGN REC-TNK – removal of depress hose for nominal ops,,,,,
09:30-10:55,FE-5,Dragon on R-bar,,,,,
,"FE-1,FE-2, FE-",,,,,,
09:40-09:55,,Telephone conference with the Patriarch of Russian Orthodox Church (VHF),,,,,
,4,,,,,,
,"FE-1,FE-2, FE-",,,,,,
10:00-10:30,,Private Family Conference (S+Ku-band),,,,,
,4,,,,,,
10:15-10:55,FE-3,Dragon on R-bar,,,,,
,"CDR,FE-3, FE-",,,,,,
10:55-11:30,,Dragon - SSRMS capture,,,,,
,5,,,,,,
11:30-11:50,CDR,Dragon – repress from Node 2 and leak check,,,,,
11:30-12:30,FE-2,ARED Exercise,,,,,
11:30-12:30,FE-4,"БД-2 Exercise, Day 2",,,,,
11:30-12:00,FE-3,NANORACK-P – experiment ops review,,,,,
12:00-12:15,FE-3,NANORACK – training material review,,,,,
12:00-13:00,CDR,LUNCH,,,,,
12:10-13:10,FE-5,LUNCH,,,,,
12:15-13:15,FE-3,LUNCH,,,,,
12:30-13:00,FE-2,Hygiene procedures,,,,,
12:55-13:00,FE-4,On MCC Go ISS N2 Repress from ТКГ 421 (АО) СрПК Section 2 (start),,,,,
,"FE-1,FE-2, FE-",,,,,,
13:00-14:00,,LUNCH,,,,,
,4,,,,,,
13:00-13:10,CDR,CBCS – camera install on Node 2 nadir hatch and power up,,,,,
TIME,CREW,,ACTIVITY,,,,
06:00-06:10,"CDR, FE-5",Morning Inspection,,,,,
06:00-06:05,FE-3,REMINDER. Reading Reminder,,,,,
,,Morning Inspection.,,,,,
06:00-06:10,FE-1,Laptop RS1(2) Reboot,,,,,
,,"RSS1,2 Reboot",,,,,
,,Morning Inspection,,,,,
06:00-06:10,FE-2,,,,,,
,,SM ПСС (Caution & Warning Panel) Test,,,,,
06:00-06:15,FE-4,CHROMATOMASS. Experiment Setup,,,,,
06:05-06:10,FE-3,Reading REMINDER,,,,,
,"CDR, FE-1, FE-",,,,,,
06:10-06:40,,Post-sleep,,,,,
,"2, FE-5",,,,,,
06:10-06:15,FE-3,Morning Inspection,,,,,
06:15-06:45,FE-4,CHROMATOMASS. Saliva and Blood Collection,,,,,
06:15-06:40,FE-3,Post-sleep,,,,,
,"CDR, FE-1, FE-",,,,,,
06:40-07:30,,BREAKFAST,,,,,
,"2, FE-3, FE-5",,,,,,
06:45-07:15,FE-4,Post-sleep,,,,,
07:15-07:30,FE-4,BREAKFAST,,,,,
07:40-07:55,,Daily Planning Conference (S-band),,,,,
07:55-08:55,FE-5,CEVIS Exercise,,,,,
07:55-08:15,"FE-1, FE-2",Work Prep,,,,,
07:55-08:30,FE-4,BREAKFAST,,,,,
07:55-08:50,FE-3,SKNB. Experiment Ops and Data Downlink,,,,,
08:15-09:45,FE-2,On MCC GO ТГК 421 Progress (SM) Rodnik БВ 2 Tank Bladder Compression,,,,,
08:15-09:00,CDR,HYBRID - Muscle Training,,,,,
08:25-09:45,FE-1,VIRTUAL. Experiment Ops,,,,,
08:30-08:40,FE-4,CHROMATOMASS. Photography of the Experiment Ops / r/g 4080,,,,,
08:40-08:55,FE-4,CHROMATOMASS. Closeout Ops,,,,,
08:55-09:25,FE-4,ARIL. Thermostat Setup for the Experiment,,,,,
08:55-11:25,"FE-3, FE-5",Carbon Dioxide Removal Assembly (CDRA) - Removal,,,,,
09:00-09:10,CDR,HYBRID - Training Session Questionnaire,,,,,
09:10-10:10,CDR,T2 Exercise,,,,,
09:25-09:55,FE-4,BIOEMULSIYA. Thermostat Setup for the Experiment,,,,,
09:45-10:05,FE-2,"Recording a Video Footage of ""Totalnyi Diktant"" (Total Dictation) Event",,,,,
09:45-10:45,FE-1,"VELO Exercise, Day 3",,,,,
09:55-10:25,FE-4,CONYUGATSIYA. Thermostat Setup / r/g 5286,,,,,
10:05-10:25,FE-2,NAPOR-miniRSA. БЗУ-M Software Upgrade. Tagup with specialists,,,,,
10:25-10:55,FE-2,FGB ЦВ1 Fan Grille Cleaning,,,,,
10:25-11:05,FE-4,СОЖ Maintenance,,,,,
10:45-11:15,FE-1,Crew time for ISS adaptation and orientation,,,,,
11:05-12:05,FE-4,"VELO Exercise, Day 2",,,,,
,TIME,,,"CREWCDR, FE-3,",,ACTIVITY,
,,,,,,,
,07:30-07:40,,Morning Inspection,,,,
,,"FE-4, FE-5FE-1FE-2",,,,,
,,"Morning InspectionLaptop RS1(2) RebootRSS1,2 RebootMorning InspectionSM ПСС (Caution & Warning Panel) TestPost-sleepBREAKFASTBREAKFASTHW prep to conduct PAO in mpeg2 from SMDaily Planning Conference (S-band)T2 ExerciseCEVIS Exercise",,,,,
,,,,,,,
,07:30-07:40,,,,,,
,,,,,,,
,07:30-07:40,,,,,,
,07:40-08:05,,,,,,
,,"CDR,FE-3,FE-2,FE-4,FE-5FE-1FE-1",,,,,
,,,,,,,
,08:05-08:45,,,,,,
,,,,,,,
,08:05-08:35,,,,,,
,08:35-08:45,,,,,,
,08:45-09:05,,,,,,
,,,"FE-5FE-3FE-1,FE-2,",,,,
,09:05-10:05,,,,,,
,09:05-10:05,,,,,,
,,,,,,,
,09:05-09:10,,PAO - crew prep,,,,
,,,"FE-4FE-1,FE-2,",,,,
,,,,,,,
,,,,,,,
,09:10-09:25,,TV broadcast for the city of Saratov,,,,
,,,"FE-4CDRFE-1FE-2FE-4CDRFE-1, FE-2,",,,,
,,Work PrepWork PrepARIL. Thermostat Activation at +29 deg СWork PrepTransfer  EHS AQM air analysis equipmentTV PAO Event  with winners of the 8th S.P. Korolev Russian NationalYouth Science Readings (Ku + S-band)ISS HAM - Radio ActivationOn MCC GO ТКГ 427 and DC1 Interface Leak CheckCDRA - Filter Screen R&R and Leak CheckCONYUGATSIYA. Thermostat Activation at +4 deg СISERV - Opening Window ShutterСОЖ MaintenanceDragon - VOK assemblyDC-СУ Transfer Hatch OpeningOn MCC GO ТКГ-СУ (DC1) Hatch OpeningТКГ 427 (DC1) Air Sampling using АК-1М samplerPhotography of СтА docking probe trace on acquisition cone of DC1,,,,,
,09:20-09:30,,,,,,
,09:25-09:50,,,,,,
,09:25-09:35,,,,,,
,09:25-09:50,,,,,,
,09:40-10:00,,,,,,
,,,,,,,
,09:50-10:05,,,,,,
"FE-4CDRFE-2, FE-4FE-3, FE-5FE-1CDRFE-1CDRFE-2, FE-4FE-2, FE-4FE-4FE-2FE-4",,,,,,,
,,,,,,,
,10:00-10:10,,,,,,
,10:05-11:20,,,,,,
,10:05-12:05,,,,,,
,10:10-10:20,,,,,,
,10:10-10:15,,,,,,
