0,1,2,3,4
12:15-13:15,CDR,Physical Exercise T 2,,
12:35-13:05,FE-1,"BACKUP: PCE Test 1. PCE, PCE Antenna Feeder, ATV HandController Checkout",,
13:05-13:20,FE-1,Private Family Conference (Ku+S-band),,
13:35-14:05,.,Weekly Planning Conference (S-band),,
14:05-15:05,.,LUNCH,,
15:05-15:15,CDR,Food Frequency Questionnaire,,
15:05-15:45,FE-2,СОЖ Maintenance,,
15:15-15:20,CDR,Compound Specific Analyzer- Combustion Products (CSA-CP) CSA-O2Readings,,
15:45-15:50,FE-1,Hardware setup for HAM radio session,,
15:50-16:05,FE-1,HAM radio session with Kiev Airspace School students at Kiev NationalAviation University,,
16:30-18:00,FE-1,Physical Exercise (ARED),,
16:40-16:50,"CDR,FE-5",ROALD2 Removal 1,,
16:50-17:00,"CDR,FE-5",Insertion of ROALD2 Samples into MELFI at -80 deg C,,
18:00-18:15,FE-4,Private Medical Conference (Ku+S-band),,
18:00-19:30,CDR,Physical Exercise (ARED),,
18:30-18:45,FE-6,Private Medical Conference,,
18:30-19:30,FE-2,"Physical Exercise (TVIS), Day 4",,
19:25-19:30,FE-5,SHD Questionnaire,,
19:30-21:30,.,Pre-sleep,,
21:30-05:25,CDR,SLEEP,,
21:30-06:00,"FE-1,FE-2,FE-4,FE-5,FE-6",SLEEP,,
Task List,Все,TV Message to Santa Claus,,
"FE-1,FE-2,FE-",Preparation of reports for Roskosmos site,,,
4,,,,
,URAGAN. Observations and Photography,,,
"FE-1,FE-2",ECON. Observations and Photography,,,
,SEINER Ocean Observations,,,
GMT,,CREW,,ACTIVITY
06:00-06:15,,CDR,,Morning Inspection
06:00-06:10,,FE-1,,Morning Inspection. SM ПСС [Caution & Warning Panel] Test
06:00-06:10,,FE-2,,Morning Inspection
06:10-06:40,,"FE-1, FE-2",,Post-sleep
06:15-06:45,,CDR,,Post-sleep
06:40-07:30,,"FE-1, FE-2",,BREAKFAST
06:45-07:35,,CDR,,BREAKFAST
07:30-07:55,,"FE-1, FE-2",,Work Prep
07:35-07:55,,CDR,,Acoustic Dosimeters - Equipment Setup (operation 1 of 5)
07:55-08:10,,,,Daily Planning Conference (S-band)
08:10-08:20,,CDR,,Work Prep
08:10-08:25,,FE-1,,КОБ2 4ГБ4 Half-Coupling Shell Coolant Leak Check
08:10-10:30,,FE-2,,TYPOLOGY Experiment. Tagup with specialists (S-band)
08:20-08:35,,CDR,,Colloid Flash Disk Exchange
08:25-08:40,,FE-1,,"Photograph air duct fastening on SM panel 101, and also fasteninglocations of ВН1 and ВН2 fans on SM panels 219 and 305. Transferphotos to OCA"
08:35-08:45,,CDR,,FIR Photo/Video Setup
08:40-08:55,,FE-1,,TYPOLOGY Experiment Assistance
08:45-09:00,,CDR,,FIR Door Opening
08:55-09:05,,FE-1,,TYPOLOGY Photography
09:00-09:05,,CDR,,LMM (Light Microscopy Module) Rotation
09:05-10:15,,CDR,,PACE LED - Sample Changeout
09:05-10:20,,FE-1,,Study of veins in lower extremities
10:15-10:25,,CDR,,LMM Rotation To Operational Position
10:20-10:25,,FE-1,,Comm config to support voice comm from MRM2 during the experiment
10:25-10:40,,CDR,,FIR Rack Doors Close
10:25-11:25,,FE-1,,COULOMB CRYSTAL Experiment. Tagup with specialists (S-band)
10:30-11:30,,FE-2,,"Physical Exercise (VELO), Day 3"
10:40-11:40,,CDR,,Physical Exercise (CEVIS)
11:25-11:30,,FE-1,,MRM2 Comm reconfig to initial
11:30-12:00,,FE-2,,Clean FGB ЦВ1 Fan Guard Screen
11:30-13:00,,FE-1,,"Physical Exercise (TVIS), Day 3"
11:40-13:10,,CDR,,Physical Exercise (ARED)
12:00-13:00,,FE-2,,"Cleaning ventilation screens on FGB interior panels (panels 201, 301, 401)"
13:00-14:00,,"FE-1, FE-2",,LUNCH
13:10-14:10,,CDR,,LUNCH
14:00-14:50,,FE-2,,"Replacement of ПФ1, ПФ2 Dust Filters and Cleaning В1, В2 Fan Grills in DC1(ФГБ1ПГО_2_219_1, bag 410-22 or (00054251R)). Update IMS"
14:00-15:30,,FE-1,,Changeout of СРВК-2М Water conditioning unit purification columns (БК БКВ)
14:10-14:20,,CDR,,CIR Photo/TV Prep
14:20-14:30,,CDR,,CIR Upper Rack Doors Open
14:30-15:00,,CDR,,CIR Manifold Bottle Replacement
14:50-15:30,,FE-2,,СКВ1 БП Connection. Tagup with specialists (S-band) / r/g 7874
15:00-15:10,,CDR,,CIR Upper Rack Doors Close
15:10-16:10,,CDR,,45Р US Unpack
15:30-16:10,,FE-2,,Locating [СКВ] Power Supply Unit
15:40-16:10,,FE-1,,ISS-MCC-M TV. COULOMB CRYSTAL Preparation and TV Downlink Tagupwith specialists (VHF)
16:10-17:10,,FE-1,,"Physical Exercise (VELO), Day 3"
16:10-16:30,,FE-2,,СКВ1 БП Connection. Tagup with specialists (S-band)
16:10-16:25,,CDR,,IMS and Stowage Conference
16:25-18:00,,CDR,,Crew time for ISS adaptation and orientation
16:30-18:00,,FE-2,,"Physical Exercise (TVIS), Day 3"
17:20-17:45,,FE-1,,ISS-MCC-M TV. COULOMB CRYSTAL Preparation and TV Downlink Tagupwith specialists (VHF)
17:45-18:25,,FE-1,,СОЖ Maintenance
18:00-18:15,,CDR,,Private Medical Conference
18:00-18:20,,FE-2,,IMS Update
18:15-19:15,,CDR,,Evening Work Prep
18:20-19:15,,FE-2,,Evening Work Prep
18:25-19:15,,FE-1,,Evening Work Prep
19:15-19:30,,,,Daily Planning Conference (S-band)
19:30-21:30,,CDR,,Pre-sleep
19:30-21:30,,"FE-1, FE-2",,Pre-sleep
21:30-06:00,,.,,SLEEP
Task List,,"FE-1, FE-2",,Preparation of reports for Roskosmos site
GMT,CREW,ACTIVITY,,
06:00-06:20,FE-1,SONOCARD Experiment Termination and Data Upload to RSE-MED Laptop,,
06:00-06:10,FE-2,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,,
06:00-06:05,CDR,Reaction Self Test,,
06:05-06:10,CDR,Morning Inspection,,
06:10-06:40,FE-2,Post-sleep,,
06:20-06:40,FE-1,Post-sleep,,
06:40-07:30,,BREAKFAST,,
07:30-07:45,,Daily Planning Conference (S-band),,
07:45-08:15,"CDR, FE-2",Work Prep,,
07:45-07:55,FE-1,BAR Start Charging Pyren-B,,
07:55-08:15,FE-1,Work Prep,,
08:15-08:20,CDR,KUBIK-3 Experiment Setup,,
08:20-08:35,CDR,Activate KUBIK-3 for checkout,,
08:20-08:50,"FE-1, FE-2","Review ""Opening Transfer Hatches"" and ""Arrival of Expedition 30"" PAOprocedure. Tagup with specialists (S-band)",,
08:40-09:40,CDR,Physical Exercise T2,,
08:50-09:30,FE-2,"EDV-KOV filling (separation) for Electron from CWC #1030 (22 L), 1051(44L)",,
08:50-09:50,FE-1,"Continuity check of БСК-7, 5 circuitry comprising EPS (СЭП) power buscontroller, channel B. Tagup with specialists (S-band)",,
09:30-10:10,FE-2,СОЖ Maintenance,,
09:40-11:10,CDR,Physical Exercise (ARED),,
10:10-10:20,FE-1,"Replacing ИК0501 CO2 Filter Unit (БФ). Install #127 (00054192R,СМ1РО_4_449_1, Bag 354-1 (00038525R)). Discard the item youremoved. Update IMS",,
10:15-12:05,FE-2,"RUSALKA Setup, Photo/Video, And Closeout Ops. Tagup with specialists (S-band) (as necessary)",,
10:20-10:35,FE-1,Verify ИП-1 sensor positions,,
10:35-10:50,FE-1,КОБ2 4ГБ4 Half-Coupling Shell Coolant Leak Check,,
10:50-11:00,FE-1,URAGAN. FSS PL Battery Charge (start),,
11:10-11:40,CDR,Locate ESEM1 module stowage,,
11:20-11:50,FE-1,"PCE Test 1. PCE, PCE ANTENNA FEEDER, ATV Hand Controller Checkout.Tagup with specialists (S-band)",,
11:40-12:30,CDR,Compound Specific Analyzer-Combustion (CSA-CP) Battery Checkout,,
11:50-13:20,FE-1,Physical Exercise (ARED),,
12:05-13:05,FE-2,"Physical Exercise (TVIS), Day 2",,
12:30-13:10,CDR,Advanced Recycle Filter Tank Assembly (ARFTA) Reconfiguration For UrineProcessing,,
13:10-13:15,CDR,KUBIK Pre-heating for Sphinx Experiment,,
13:15-13:30,CDR,IMS and Stowage Conference,,
13:20-14:20,"FE-1, FE-2",LUNCH,,
13:30-14:30,CDR,LUNCH,,
14:20-16:20,"FE-1, FE-2",BAR Experiment Ops,,
14:45-14:55,CDR,PAO Hardware Setup,,
14:55-15:05,CDR,Crew Prep For PAO,,
15:05-15:25,CDR,PAO Event,,
15:35-15:40,CDR,KUBIK. Checking Current Temperature,,
15:40-18:40,CDR,EPIC Hardware Setup,,
16:20-17:10,FE-2,MATRYOSHKA-R. BUBBLE-dosimeter initialization and deployment forexposure,,
16:40-17:40,FE-1,URAGAN. Observations and Photo using FSS PL,,
17:10-18:40,FE-2,Physical Exercise (ARED),,
17:40-18:40,FE-1,"Physical Exercise (TVIS), Day 2",,
18:40-18:55,,Daily Planning Conference (S-band),,
18:55-19:15,,Flight Director/ISS Crew Tagup,,
19:15-19:30,,Evening Work Prep,,
19:30-21:30,"FE-1, FE-2",Pre-sleep,,
19:30-19:35,CDR,P/TV Playback Start,,
19:35-21:20,CDR,Pre-sleep,,
21:20-21:25,CDR,Reaction Self Test,,
21:25-21:30,CDR,P/TV Playback End,,
21:30-09:30,,SLEEP,,
Task List,"FE-1, FE-2",Preparation of reports for Roskosmos site,,
FE-1,IMS Update,,,
GMT,CREW,,ACTIVITY,
06:00-06:05,CDR,,Reaction Self Test,
06:00-06:10,FE-1,,Morning Inspection. SM ПСС [Caution & Warning Panel] Test,
06:00-06:10,"FE-2, FE-6",,Morning Inspection,
06:00-06:05,FE-5,,Urine Spot Test,
06:00-06:05,FE-4,,PLAZMENNYI KRISTALL. Pressure Check,
06:05-06:10,"CDR, FE-4",,Morning Inspection,
06:05-06:15,FE-5,,Morning Inspection,
06:10-06:40,"CDR, FE-1,FE-2, FE-4,FE-6",,Post-sleep,
06:15-06:45,FE-5,,Post-sleep,
06:40-07:20,FE-2,,BREAKFAST,
06:40-07:30,"CDR, FE-1,FE-4, FE-6",,BREAKFAST,
06:45-06:35,FE-5,,BREAKFAST,
07:20-07:35,FE-2,,БМП Ф1 Absorption Cartridge Regeneration (start),
07:30-07:40,FE-1,,ТТМ-2. Start Charging,
07:30-07:40,"CDR, FE-4,FE-6",,Work Prep,
07:35-07:40,FE-2,,Work Prep,
07:40-08:05,,,Daily Planning Conference (S-band),
08:05-08:20,,,ISS Crew and ГОГУ (RSA Flight Control Team Management) WeeklyConference (S-band),
08:20-08:30,"CDR, FE-4,FE-6",,Work Prep,
08:20-08:40,"FE-1, FE-2",,Work Prep,
08:20-08:40,FE-5,,Work Prep,
08:30-09:00,"CDR,FE-6",,Crew Handover to Expedition 30,
08:40-08:50,FE-4,,TV PAO Setup,
08:50-09:00,"FE-1, FE-2,FE-4",,Crew Prep For PAO,
09:00-09:20,"FE-1, FE-2,FE-4",,"ISS-MCC-M TV. TV PAO Event with RCC Energia, IMBP, GCTC Management.New Year Greetings (Ku + S-band)",
09:00-09:40,CDR,,Portable PFS Power on and a 45-minute warm-up. Activation of PortablePulmonary Function System (PFS) MBS Module,
09:20-09:35,FE-2,,Private Family Conference (Ku + S-band),
09:20-10:50,FE-4,,"Physical Exercise (TVIS), Day 2",
09:20-11:10,FE-1,,Audit of Docking and Internal Transfer System [ССВП] Accessories. Tagup withspecialists (S-band),
09:35-11:10,FE-2,,Progress 413 Stowage and IMS Ops,
09:40-09:50,CDR,,VO2max Video Setup,
09:50-10:15,CDR,,VO2max Protocol Preparation,
