0,1,2,3,4,5,7
TIME,CREW,,,,,
10:20-10:55,FE-6,ENERGY - ActiWatch data transfer to РС1 HRF using ActiWatch Dock and ActiWare applications,,,,
10:50-12:20,FE-4,"Physical Exercise (TVIS), Day 4",,,,
10:55-12:25,FE-6,Crewlock configuration to provide access to EVA tools,,,,
12:20-13:00,FE-4,СОЖ Maintenance,,,,
12:25-12:45,FE-6,Start BSA Battery Charge,,,,
12:40-12:50,CDR,Inhibit IE Phishing Filter. Activate Drawer-1 and IMU,,,,
12:45-13:00,FE-6,POMS Questionnaire,,,,
12:50-12:55,CDR,EHS - Air Quality Monitor (AQM) End,,,,
13:00-14:00,,LUNCH,,,,
14:00-14:30,"FE-6, CDR",Sample Relocation from MELFI to Glacier 2,,,,
14:00-14:30,FE-4,"Prep for ПГО-СУ (SM) PEV Valve Leak Check (locating equipment, radiogram review). Tagup with specialists (S-band + VHF)",,,,
14:30-15:25,CDR,Micro-6 GAP First Group Terminate and Transfer,,,,
14:30-15:15,FE-6,EVA – Tether Bundle Config,,,,
14:45-14:55,FE-4,RELAKSATSIYA. Terminate SONY DCR-TRV900E Battery Charge,,,,
14:55-15:55,FE-4,RELAKSATSIYA. Hardware Setup. Tagup with specialists (S-band),,,,
15:15-16:05,FE-6,Glacier – transfer from Dragon to ISS,,,,
15:25-15:35,CDR,Elite – crew powers off IMU,,,,
15:40-16:00,CDR,WPA R&R,,,,
15:55-16:55,FE-4,"Physical Exercise (TVIS), Day 4",,,,
16:00-16:25,CDR,Stow WPA Pump R&R Equipment,,,,
16:15-17:05,FE-6,Prep for Resist Tubule Sampling,,,,
16:45-18:15,CDR,Physical Exercise (ARED),,,,
16:55-17:20,FE-4,RELAKSATSIYA. Adjustment of Hardware Parameters,,,,
17:05-17:15,FE-6,Tubule MELFI Insertion,,,,
17:15-18:15,FE-6,Physical Exercise T2,,,,
17:20-17:40,FE-4,RELAKSATSIYA. Earth Observations,,,,
17:40-18:00,FE-4,RELAKSATSIYA. Adjustment of Hardware Parameters,,,,
18:00-18:20,FE-4,IMS Update,,,,
18:15-18:25,FE-6,Start EMU Metox Regeneration,,,,
18:20-18:45,FE-4,Evening Work Prep,,,,
