0,1,2,3,5
21:30-06:00,,SLEEP,,
Task List,CDR,ECON-M. Observations and Photography,,
,,,,IMS Update
,ИП-1 Flow Sensor Position Check,,,
,URAGAN. Observations and Photography,,,
,Preparation of reports for Roskosmos site / r/g,,,
TIME,CREW,ACTIVITY,,
06:00-06:10,CDR,Morning Inspection. Laptop RS2(1) Reboot,,
06:00-06:10,FE-2,"Morning Inspection. RSS1, RSS2 Reboot",,
06:00-06:05,FE-3,PROK - Urine Sample Collection,,
06:00-06:10,FE-4,Morning Inspection,,
06:00-06:05,FE-5,Reaction Self Test,,
06:00-06:05,FE-6,Reaction Self Test,,
06:05-06:15,"FE-3, FE-5, FE-6",Morning Inspection,,
06:10-06:40,"CDR, FE-2, FE-4",Post-sleep,,
06:15-06:40,"FE-3, FE-5, FE-6",Post-sleep,,
,"CDR, FE-2,",,,
06:40-07:30,"FE-3, FE-5,",BREAKFAST,,
,FE-6,,,
06:40-07:30,FE-4,BREAKFAST.  SM ПСС (Caution & Warning Panel) Test (after breakfast),,
,,Weekly Housekeeping,,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",,
07:30-10:30,CDR,"SM ventilation subsystem preventive maintenance, Group E, Group B1  FGB ЦВ2 Fan Cleaning",,
,,Inspection of Air Conditioner,,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,,
07:30-10:30,"FE-3, FE-5, FE-6",Weekly Housekeeping,,
07:30-10:30,FE-4,Weekly Housekeeping  Cleaning Auxiliary Computer System (ВКС) Laptops,,
,,Weekly Housekeeping,,
07:30-10:30,FE-2,Cleaning Auxiliary Computer System (ВКС) Laptops БМП,,
,,(Micropurification Unit) Fan Grille Cleaning,,
10:30-12:00,FE-4,"VELO Exercise, Day  2",,
10:30-10:35,FE-3,CGBA - Status Check and Monitor Cleaning,,
10:45-11:45,FE-6,T2 Exercise,,
11:45-13:15,FE-6,ARED Exercise,,
11:50-13:00,FE-2,"БД2 Exercise, Day 2",,
12:00-13:00,CDR,"T2 Exercise, Day 3",,
13:00-13:15,"CDR, FE-2, FE-4",Weekly Planning Conference (S-band),,
13:15-14:15,,LUNCH,,
14:15-15:15,CDR,ТК 705 Stowage Ops,,
14:15-14:35,FE-2,MO-21 Prep. ECOSFERA Battery Charge,,
14:15-14:20,FE-3,PROK - Diet Log,,
19:05-19:25,FE-5,Thermolab - cyrcadian rhythms equipment activities,,
19:25-19:45,"CDR,FE-5, FE-6",Crew - FD conference (S-band),,
19:45-21:30,"CDR,FE-6",Pre-sleep,,
19:45-21:15,FE-5,Pre-sleep,,
21:15-21:25,FE-5,USOS window shutters close,,
21:25-21:30,FE-5,Blood sampling reminder,,
21:30-06:00,.,Sleep,,
,,Preparation of reports for Roskosmos site,,
,,URAGAN. Observations and Photography,,
Task List,CDR,,,
,,IMS edit,,
,,ECON-M. Observations and Photography,,
TIME,CREW,ACTIVITY,,
06:00-06:10,CDR,Morning inspection. Laptop RS2(1) reboot,,
06:00-06:10,FE-2,Morning inspection. SM ПСС Test,,
06:00-06:10,FE-3,Morning inspection,,
06:00-06:10,FE-4,"Morning inspection. RSS1, RSS2 restart",,
06:00-06:05,FE-5,Reaction self-test,,
06:00-06:05,FE-6,Reaction self-test,,
06:05-06:15,"FE-5,FE-6",Morning inspection,,
06:10-06:45,FE-3,Post-sleep,,
06:10-06:20,"CDR,FE-2, FE-4",Shin volume measurement,,
06:15-06:35,FE-5,Post-sleep,,
06:15-06:50,FE-6,Post-sleep,,
06:20-06:30,CDR,Post-sleep,,
06:20-06:40,FE-4,Post-sleep,,
06:20-06:30,FE-2,MO-8. Setup,,
06:30-06:35,CDR,Body mass measurement,,
06:30-06:55,FE-2,Post-sleep,,
06:35-07:35,CDR,SPRUT-2. Experiment run,,
06:35-06:40,FE-5,Body mass measurement,,
06:40-06:45,FE-4,Body mass measurement,,
06:40-07:30,FE-5,Breakfast,,
06:45-06:50,FE-3,Body mass measurement,,
06:45-07:30,FE-4,Breakfast,,
06:50-07:30,FE-3,Breakfast,,
06:50-06:55,FE-6,Body mass measurement,,
06:55-07:00,FE-2,Body mass measurement,,
06:55-07:30,FE-6,Breakfast,,
07:00-07:10,FE-2,MO-8. Closeout ops,,
07:10-07:50,FE-2,Breakfast,,
07:30-07:50,"FE-3,FE-4, FE-5,FE-6",Work prep,,
07:35-07:50,CDR,Breakfast,,
07:50-08:15,.,DPC (S-band),,
08:15-08:55,CDR,Breakfast,,
08:15-08:30,FE-2,Work prep,,
08:15-08:30,FE-4,OBSTANOVKA. УКР-50 setup for ДАКУ2 test. Conference w/spec. (S-band),,
08:15-09:45,FE-5,ARED exercise,,
08:20-08:30,FE-3,FMK deployment ops,,
08:30-09:10,FE-2,СОЖ maintenance,,
08:30-09:10,FE-3,CBEF – Micro-G and 1G retrieval from thermostat,,
08:30-08:40,FE-4,On MCC Go OBSTANOVKA. Connector mating. Conference w/spec. (S-band),,
08:30-08:40,FE-6,IBALL – camcorder setup,,
08:40-09:10,FE-6,IBALL – equipment activation,,
08:55-09:10,CDR,Work prep,,
09:10-09:40,"CDR,FE-2, FE-3",Kentavr fitting,,
09:10-09:20,FE-4,OBSTANOVKA. Voltage measurement (БСCDR5-32 feeder 31 c/o). Conference w/spec. (S-band),,
09:10-10:10,FE-6,T2 exercise,,
09:20-10:30,FE-4,VELO Day 2 exercise,,
09:40-09:50,"CDR,FE-2, FE-3",Kentavr PMC (S-band),,
09:45-10:00,FE-5,PMC,,
09:50-10:05,CDR,Time to prepare for return to Earth,,
10:00-10:20,FE-3,Sampling into GSC container,,
10:05-11:05,FE-2,БД-2  Day 2 exercise,,
10:10-11:10,CDR,T2  Day 3 exercise,,
10:10-10:25,FE-5,PPC,,
10:10-10:25,FE-6,ASIAN SEED – video recording,,
10:20-10:50,FE-3,EMCS – RBLSS R&R,,
10:25-10:55,"FE-5, FE-6",Crew prep for HTV undocking,,
10:40-11:05,FE-4,Sound recording using EARQ software,,
10:50-11:20,FE-3,Smoke detector transfer from HTV and stowage,,
10:55-11:40,"FE-5, FE-6",HTV undocking OBT,,
11:05-11:25,FE-4,СВО-ЗВ water sampling into ROS beverage packs,,
11:15-12:45,"CDR,FE-2",Prepare Soyuz-708 returnable and disposable cargo,,
11:20-11:50,FE-3,ISS SERVIR environment and  visualization system research,,
11:25-11:35,FE-4,On MCC Go OBSTANOVKA. Connector mating. Conference w/spec. (S-band),,
11:35-11:45,FE-4,OBSTANOVKA. Closeout ops. Conference w/spec. (S-band),,
11:40-11:50,"FE-5, FE-6",Review of HTV4 undocking reminders,,
11:45-12:15,FE-4,БРП-М water sampling into ROS beverage packs,,
11:50-12:20,FE-3,BCAT – documents and video review,,
11:50-12:40,"FE-5, FE-6","Robotics OBT, HTV undocking skill refresher",,
12:15-12:45,FE-4,КАВ sampling from СРВ-К2М till ФГС into Russian samplers – start,,
12:30-12:50,FE-3,EMCS – water pump line installation,,
12:40-12:50,"FE-5, FE-6",ROBoT OBT review,,
12:45-13:45,"CDR,FE-2, FE-4",Midday meal,,
12:50-13:50,"FE-3,FE-5, FE-6",Midday meal,,
13:45-15:05,"CDR,FE-2,",Symbolic activity,,
,FE-4,,,
13:50-14:10,"FE-3,FE-5, FE-6",Symbolic activity,,
14:10-14:25,FE-3,JSL router setup,,
14:15-14:30,FE-5,HTV - PEPs teardown,,
14:30-14:40,"FE-3,FE-5",HTV - hatch closure,,
14:40-14:50,FE-3,Monthly T2 inspection,,
14:40-16:05,"FE-5,FE-6",HTV – sealed cargo compartment power cable de-mating,,
15:05-16:05,CDR,Prepare Soyuz-708 returnable and disposable cargo,,
15:05-15:20,FE-2,PMC (S+Ku-band),,
15:05-17:05,FE-4,ROS-USOS nominal comm setup c/o. ISS ROS nominal network configuration recovery. BRI clean-up. Conference w/spec. (S-band),,
15:15-16:45,FE-3,ARED exercise,,
15:20-15:50,FE-2,Harmful components measurement using CMS in SМ,,
15:50-16:10,FE-2,IMS update,,
16:05-18:05,"FE-5,FE-6",Node 2 СВМ nadir module CPA installation,,
16:10-16:25,CDR,PMC (S+Ku-band),,
16:10-17:10,FE-2,Time to prepare for return to Earth,,
16:25-17:10,CDR,Time to prepare for return to Earth,,
16:45-17:45,FE-3,CEVIS exercise,,
17:05-17:20,FE-4,PMC (S+Ku-band),,
17:10-18:40,CDR,БД-2  Day 3 exercise,,
17:10-18:40,FE-2,VELO Day 2 exercise,,
