0,1,2
12:20-12:45,FE-1,EARQ audiogram recording
12:30-13:05,FE-2,Prep for ТВУ МRМ2 replacement and update. Tagup (if needed)
12:35-12:50,CDR,Private family conference
12:45-13:05,FE-1,IMS update
13:05-14:05,.,LUNCH
,,Condensate removal spare line replacement from БТА СКВ1 to НОК1
14:05-16:05,FE-1,
,,Tagup
14:05-14:55,FE-2,MATERSHKA-R. BUBBLE-dosimeter data collection and measurements
14:05-14:10,CDR,VEG – daily plant check
14:10-14:15,CDR,DCP power cable deactivation
14:15-14:25,CDR,Video transmission termination to SSC8  in  LAB and SSC18 in Cupola
14:25-14:40,CDR,Return LAB module Camcorder to initial config
14:50-14:55,CDR,Unstow Radi-N dosimeters
14:55-15:00,FE-2,MATERSHKA-R. Receiving BUBBLE dosimeters form USOS
14:55-15:00,CDR,Radi-N dosimeters handover
15:00-15:45,FE-2,MATERSHKA-R. BUBBLE-dosimeter data collection and measurements
15:00-15:30,CDR,Vestibule reconfig to initial condition after Dragon unberthing
15:55-16:10,FE-2,PE data downlink
16:10-17:10,FE-2,БД-2 Exercise Day- 4
16:10-17:10,FE-1,VELO Exercise Day- 1
17:10-18:25,FE-2,ARED Exercise
17:10-18:40,FE-1,БД-2 Exercise Day- 1
18:25-19:15,FE-2,Evening work prep
18:30-18:45,CDR,JRNL – journal entry
18:40-19:15,FE-1,Evening work prep
18:45-19:30,CDR,Evening work prep
19:15-19:30,"FE-1,FE-2",DPC  (S-band)
19:30-21:30,.,Pre-sleep
21:30-06:00,.,SLEEP
,,Preparation of reports for Roscosmos site
,"FE-1,FE-2",
Task List,,EKON-М. Observation and photography
,FE-2,URAGAN. Observation and photography
TIME,CREW,
06:00-06:10,"CDR, FE-5",Morning Inspection
06:00-06:10,FE-1,Morning Inspection.  SM ПСС (Caution & Warning Panel) Test
06:00-06:10,FE-2,Morning Inspection. Laptop RS1(2) Reboot
06:00-06:05,FE-3,Reading REMINDER
06:00-06:10,FE-4,"Morning Inspection. RSS 1, 2 Reboot"
06:05-06:20,FE-3,HRF - Sample collection in preparation for cold stowage insertion.
,"CDR, FE-1, FE-",
06:10-06:40,,Post-sleep
,"2, FE-4, FE-5",
06:20-06:25,FE-3,HRF - MELFI Sample Insertion
06:25-06:55,FE-3,Post-sleep
,"CDR, FE-1, FE-",
06:40-07:30,,BREAKFAST
,"2, FE-4, FE-5",
06:55-07:30,FE-3,BREAKFAST
07:30-07:55,,Daily Planning Conference (S-band)
,"CDR, FE-1, FE-",
07:55-08:15,,Work Prep
,"2, FE-3, FE-4",
07:55-08:00,FE-5,PETRI - Turning Lights On
08:00-08:15,FE-5,Work Prep
08:30-09:10,FE-4,ТК 711 Return Stowage
,,MEMBRANA. Setup and Start Experiment with Kit 2. Activate Execution 2.
08:30-09:00,FE-2,
,,Tagup with specialists
08:30-08:40,FE-1,LAKTOLEN. Transfer of Bioecologia Case from SM to Soyuz
08:30-08:55,FE-5,EMCS - Container Assembly
08:30-09:30,FE-3,T2 Exercise
08:30-08:35,CDR,G1 - Camcorder Setup
08:35-09:10,CDR,CSPN - Sample Fixation 1
08:40-08:55,FE-1,Ham Radio Session
08:55-10:55,FE-5,DRAGON. Transfer Ops
09:00-09:05,FE-2,MEMBRANA. Mode 2 Activation (Experiment start)
,"FE-1, FE-2, FE-",
09:10-09:25,,IMS Tagup (S-band)
,4,
09:10-09:15,CDR,CSPN - MELFI Sample Insertion 1
09:15-09:20,CDR,G1 Closeout Ops.
09:20-09:35,CDR,Private Medical Conference
09:25-11:55,"FE-1, FE-2",BAR. Experiment Ops Tagup with specialists
09:25-11:30,FE-4,Equipment Pre-pack for return in ТК 711
09:30-11:00,FE-3,ARED Exercise
09:35-10:35,CDR,T2 Exercise
10:55-11:05,FE-5,Dragon Cargo Operations Conference
11:00-12:00,CDR,NANO - Collecting Surface Samples
11:05-12:05,FE-5,T2 Exercise
11:30-12:00,FE-3,Robotics On-board Trainer (ROBoT) OBT Conference
11:30-13:00,FE-4,"БД-2 Exercise, Day 1"
12:00-12:05,CDR,MOD27 - Sample Insertion into MELFI
12:00-13:00,FE-3,On-board Training (OBT) Dragon Robotics Review
,,Photography of installed БВН (Air Heater) units in Soyuz and Progress
12:00-13:00,FE-1,
,,"vehicles on DC1, MRM1, MRM2, and T265 sensors"
12:05-12:10,FE-2,MEMBRANE Deactivate Heating Mode
12:05-13:35,FE-5,ARED Exercise
12:10-13:10,FE-2,"VELO Exercise, Day 1"
12:25-12:30,CDR,G1 - Camcorder Setup
12:30-13:45,CDR,CSPN - Sample Fixation 2
,"FE-1, FE-3, FE-",
13:00-14:00,,LUNCH
,4,
13:10-14:10,FE-2,LUNCH
13:35-14:35,FE-5,LUNCH
13:45-13:50,CDR,CSPN - MELFI Sample Insertion 2
13:50-13:55,CDR,G1 Closeout Ops.
,,"ПФ1-4 Dust Filter Cartridge Replacement in SM (ФГБ1ПГО_4_419_1, Zone"
14:00-15:00,FE-1,28Б enclosure. Dismantled items should be discarded. Reflect changes
,,in IMS)
14:00-15:00,CDR,LUNCH
14:00-16:15,FE-4,Equipment Pre-pack for return in ТК 711
14:00-14:05,FE-3,APEX - Sample Retrieval from GLACIER
14:05-14:20,FE-3,APEX - Sample Exchange
,,MATRYOSHKA-R. Removal of Passive Detector Assemblies (СПД) for return
14:10-14:40,FE-2,
,,on Soyuz
14:20-14:40,FE-3,FIR Door Opening
14:35-14:40,FE-5,VEG - Daily Plant Check
14:40-14:50,FE-3,LMM - Light Microscopy Module Rotation
14:40-14:50,FE-5,EMCS - Gas Valve Close
14:40-14:50,FE-2,MATRYOSHKA-R. Transfer of Passive Detector Assemblies (СПД) to ТК
14:50-15:30,FE-2,СОЖ Maintenance
14:50-15:05,FE-5,GRAVI2 - Hardware Removal and Stowage
14:50-15:35,FE-3,LMM - Removal of Petri plates from LMM AFC
,,"FGB Dust Collector ПС1, ПС2 Filter Replacement (Begin with No. 903008,"
15:00-15:50,FE-1,"No. 903007, No. 903003 ФГБ1ПГО_4_419_1,  Zone 28Б enclosure."
,,Dismantled items should be discarded. Reflect changes in IMS)
15:00-15:15,CDR,IMS and Stowage Conference
15:05-16:35,FE-5,Crew Departure Prep
15:15-15:40,CDR,BLR48 - Data Saving
15:30-17:00,FE-2,"БД-2 Exercise, Day 1"
15:35-15:45,FE-3,LMM - Light Microscopy Module Rotation
15:40-16:00,CDR,BLR48 - Data Saving
15:45-16:00,FE-3,FIR - Door Closure
15:50-16:10,FE-1,IMS Update
16:00-16:25,FE-3,PETRI - Photography
16:00-17:30,CDR,ARED Exercise
16:10-16:30,FE-1,Evening Work Prep
10:45-11:05,FE-3,FIR – Rack Doors Open
10:50-11:25,FE-5,EMCS – Container Replace
11:05-11:15,FE-3,LMM – LMM Rotate
11:15-11:30,FE-3,PETRI Plate Check
,"CDR,FE-4,",
11:25-12:25,,SOKOL Leak Check (Soyuz 711)
,FE-5,
11:30-12:35,FE-3,LMM – Hardware Configure
11:35-11:40,FE-1,ARED Exercise P/TV Camcoder Setup Verification
11:40-12:40,FE-1,ARED Exercise
11:40-12:40,FE-2,"VELO Exercise, Day 1"
12:25-13:25,CDR,DRAGON. Cargo Ops
12:25-12:40,"FE-4,FE-5",SOKOL Drying – Set Suits 1 and 2 for Drying
12:35-12:45,FE-3,LMM – LMM Rotate
,"FE-1,FE-2,",
12:40-13:40,,LUNCH
,"FE-4,FE-5",
12:45-13:00,FE-3,FIR – Rack Doors Close
13:00-14:00,FE-3,LUNCH
13:25-14:20,CDR,LUNCH
,"FE-1,FE-2,",
13:40-14:20,,Video Footage of Greetings
,FE-4,
13:40-13:55,FE-5,Journal Entry
14:00-14:25,FE-3,WRM – Condensate Pumping Initiation
,"CDR,FE-4,",
14:20-14:50,,KENTAVR Adjusting
,FE-5,
14:20-15:45,FE-1,Progress  427 (DC1) Cargo Transfer Ops with IMS Update
,,"Refill (separation) of EDV (KOV) from EDV ##1143,1145-1149 for"
14:20-15:00,FE-2,
,,ELEKTRON. Report to MCC KOV## and used EDV
14:30-14:35,FE-3,APEX – GLACIER Sample Retrieve
14:35-14:50,FE-3,APEX – Sample Swap
14:50-14:55,FE-3,APEX – GLACIER Sample Insertion
15:00-15:40,FE-2,SOZh Maintenance
15:00-15:10,FE-3,WRM - Condensate Pumping Termination
15:05-16:05,FE-5,CEVIS Exercise
