0,1,2,3
13:35-14:35,FE-6,LUNCH,
14:15-14:55,CDR,Reconnect SM KURS-P Cables from -Y(DC1) to +Y(MRM2),
14:15-16:00,"FE-2, FE-4",Video for Roscosmos TV Studio,
14:20-14:30,FE-5,PAO Hardware Setup,
14:30-15:20,FE-3,RVF - Experiment Protocol,
14:30-14:40,FE-5,Crew Prep for PAO,
14:40-15:00,FE-5,PAO Event,
14:55-16:00,CDR,Life On The Station Photo and Video,
15:00-16:30,FE-5,ARED Exercise,
15:40-16:40,FE-6,T2 Exercise,
15:40-16:40,FE-3,CEVIS Exercise,
16:00-17:00,FE-4,"VELO Exercise, Day 2",
16:00-17:30,FE-2,"БД-2 Exercise, Day 1",
16:30-18:00,CDR,ARED Exercise,
16:40-18:40,"FE-3, FE-6",On-board Training (OBT) Cygnus Offset Grapple 2,
16:40-16:55,FE-5,JRNL -  Data Entry,
17:00-17:20,FE-4,IMS Update,
17:20-18:25,FE-4,MRM1 Fan Screen Cleaning (Group B),
17:30-18:30,FE-2,"VELO Exercise, Day 1",
18:00-19:00,CDR,"БД-2 Exercise, Day 2",
18:15-18:40,FE-5,On-board Training (OBT) CYGNUS Offset Grapple 2,
18:25-19:15,FE-4,Evening Work Prep,
18:30-19:15,FE-2,Evening Work Prep,
18:40-18:50,"FE-3, FE-5, FE-6",Onboard Training (OBT) SSRMS Debrief Conference,
18:50-19:00,FE-3,Robotics Work Station (RWS) Display and Control Panel (DCP) Checkout,
18:50-19:10,FE-6,Evening Work Prep,
19:00-19:15,CDR,Evening Work Prep,
19:05-19:10,FE-3,,
,,SHD - Weekly Questionnaire,
19:10-19:15,FE-6,,
19:10-19:15,FE-3,ISERV - Opening window shutters in the LAB,
19:10-19:15,FE-5,Evening Work Prep,
19:15-19:35,,Flight Director/ISS Crew Tagup,
19:35-20:00,,Daily Planning Conference (S-band),
20:00-21:30,"CDR, FE-2, FE-4, FE-5",Pre-sleep,
20:00-21:00,FE-3,Pre-sleep,
20:00-21:25,FE-6,Pre-sleep,
21:00-21:15,FE-3,Private Conference,
21:15-21:30,FE-3,Pre-sleep,
21:25-21:30,FE-6,REACTION - Self-reaction test,
21:30-06:00,,SLEEP,
,,Preparation of reports for Roscosmos site,
Task List,"CDR, FE-2, FE-4",URAGAN Observations and Photography,
