0,1,2
08:45-10:15,FE-4,MATRYOSHKA-R. BUBBLE-dosimeter initialization and deployment for exposure Tagup with specialists
09:25-10:40,FE-5,Waste and Hygiene Compartment (WHC) Pre-Treat Tank Remove and Replace (R&R)
10:15-11:45,FE-4,"БД-2 Exercise, Day 4"
10:55-12:00,FE-5,ATU2 R&R in Columbus
11:30-13:50,CDR,BODYM - Experiment Ops
11:45-12:00,FE-4,ИП-1 Flow Sensor Position Check
12:00-13:00,FE-4,ТКГ 422 Stowage and IMS Ops
12:00-13:40,FE-5,BODYM - Assistance with the Experiment
13:00-14:00,FE-4,LUNCH
13:40-14:40,FE-5,LUNCH
13:50-14:50,CDR,LUNCH
14:00-16:30,FE-4,ТКГ 422 Stowage and IMS Ops
14:40-14:50,FE-5,CIR - Hardware Teardown
14:50-15:50,CDR,Lab Aft Port IMV Fan Cleaning
15:45-17:15,FE-5,ARED Exercise
16:15-17:15,CDR,T2 Exercise2
16:30-16:50,FE-4,IMS Update
16:50-17:30,FE-4,СОЖ Maintenance
17:15-18:45,CDR,ARED Exercise
17:15-18:15,FE-5,T2 Exercise
TIME,CREW,
06:00-06:05,CDR,Reaction Self Test
,,Morning Inspection.
06:00-06:10,FE-4,Laptop RS1(2) Reboot SM ПСС (Caution & Warning Panel) Test
,,"RSS1,2 Reboot"
06:00-06:10,FE-5,Morning Inspection
06:05-06:15,CDR,Morning Inspection
06:10-06:40,"FE-4, FE-5",Post-sleep
06:15-06:40,CDR,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:45,,Daily Planning Conference (S-band)
07:50-08:30,CDR,High Rate Dosimeter (HRD) Data Take
07:45-08:00,FE-4,Work Prep
07:45-08:05,FE-5,Work Prep
08:00-08:10,FE-4,ALBEDO. Battery Charge (start)
08:05-08:10,FE-5,SHD - Weekly Questionnaire
08:10-10:10,FE-4,ТКГ 422 Stowage and IMS Ops
08:30-09:30,CDR,T2 Exercise
09:35-09:50,CDR,SFE - MWA Setup
09:50-10:50,CDR,CFE - Preparation and Hardware Setup
10:10-11:10,FE-4,"VELO Exercise, Day 3"
10:50-12:50,CDR,CFE - Hardware Test
10:55-11:55,FE-5,T2 Exercise
11:10-12:20,FE-4,"ALBEDO. Photo Spectral System (ФСС) Prep, Imagery, Closeout Ops"
11:55-13:25,FE-5,ARED Exercise
12:20 - 13:00,FE-4,Life On The Station Photo and Video
12:50-13:20,CDR,Capillary Flow Experiment (CFE) - Hardware packing into Ziploc bags
13:00-14:00,FE-4,LUNCH
13:20-14:20,CDR,LUNCH
13:25-14:25,FE-5,LUNCH
14:00-14:40,FE-4,MPEG2 Multicast TV Test Using ESA MPEG2 ENCODER prior to Soyuz 712 docking. Tagup with specialists
14:20-14:30,CDR,PAO Hardware Setup
14:30-14:50,CDR,HAM radio session from Columbus
14:35-14:50,FE-5,Private Medical Conference
14:40-15:00,FE-4,MATRYOSHKA-R. Monitoring Lulin-5 readings
14:50-15:00,"CDR, FE-5",Crew Prep for PAO
15:00-15:40,FE-4,СОЖ Maintenance
15:00-15:20,"CDR, FE-5",PAO Event
TIME,CREW,
,,Morning Inspection.
06:00-06:10,FE-4,Laptop RS1(2) Reboot SM ПСС (Caution & Warning Panel) Test
,,"RSS1,2 Reboot"
06:00-06:10,FE-5,Morning Inspection
06:05-06:10,CDR,Morning Inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:45,,Daily Planning Conference (S-band)
